food,portion_label,portion_g,kcal,carb_g,protein_g,fat_g,category
밥,1공기,210,300,66,5,1,밥류
현미밥,1공기,210,310,64,6,3,밥류
잡곡밥,1공기,210,305,64,7,2,밥류
김밥,1줄,230,470,72,13,12,밥류
비빔밥,1대접,450,600,90,18,16,밥류
볶음밥,1접시,350,600,85,15,20,밥류
김치볶음밥,1접시,350,620,84,16,23,밥류
된장찌개,1대접,300,150,12,12,6,국물
김치찌개,1대접,300,240,10,16,14,국물
순두부찌개,1대접,350,280,12,18,17,국물
미역국,1대접,300,90,6,7,4,국물
설렁탕,1대접,400,350,8,35,20,국물
칼국수,1대접,600,550,90,20,10,면류
라면,1봉,120,500,73,10,17,면류
짜장면,1그릇,650,700,110,20,20,면류
짬뽕,1그릇,700,660,95,28,18,면류
냉면,1그릇,600,550,100,18,7,면류
파스타(오일),1접시,350,600,80,16,24,면류
삼겹살,1인분,150,500,0,26,44,육류
목살,1인분,150,340,0,30,24,육류
소불고기,1인분,150,330,10,25,20,육류
닭가슴살,1조각,100,110,0,23,2,육류
닭다리(구이),1개,120,220,0,20,15,육류
치킨(후라이드),1조각,80,250,10,15,17,육류
계란(삶은),1개,50,75,0,6,5,단백질
계란후라이,1개,55,110,0,6,9,단백질
두부,1/2모,150,120,3,13,7,단백질
고등어구이,1토막,100,220,0,20,15,생선
연어(구이),1토막,100,200,0,22,12,생선
김치,1접시,40,10,2,1,0,반찬
시금치나물,1접시,60,40,3,3,2,반찬
콩나물무침,1접시,60,35,3,3,2,반찬
멸치볶음,1접시,20,60,4,6,2,반찬
어묵볶음,1접시,70,110,10,6,5,반찬
샐러드(드레싱X),1접시,150,40,7,2,0,채소
샐러드(드레싱O),1접시,180,180,10,3,14,채소
아메리카노,1잔,355,10,2,0,0,음료
카페라떼,1잔,355,180,15,10,9,음료
오렌지주스,1잔,250,110,26,1,0,음료
맥주,1캔,500,200,16,2,0,주류
소주,1병,360,400,0,0,0,주류
사과,1개,200,105,28,1,0,과일
바나나,1개,120,105,27,1,0,과일
아몬드,1줌,25,145,5,5,13,견과
식빵,1장,35,90,17,3,1,빵류
크루아상,1개,60,240,26,5,12,빵류
